sample	band	cnv
TCGA-3C-AAAU-01	1p36	0.069
TCGA-3C-AAAU-01	1p35	0.0690229885057471
TCGA-3C-AAAU-01	1p34	0.069
TCGA-3C-AAAU-01	1p33	0.069
TCGA-3C-AAAU-01	1p32	0.069
TCGA-3C-AAAU-01	1p31	0.232820224719101
TCGA-3C-AAAU-01	1p22	0.259298507462687
TCGA-3C-AAAU-01	1p21	0.216
TCGA-3C-AAAU-01	1p13	0.216
TCGA-3C-AAAU-01	1p12	0.216
TCGA-3C-AAAU-01	1p11	0.216
TCGA-3C-AAAU-01	1q21	1.11498611111111
TCGA-3C-AAAU-01	1q22	0.7715625
TCGA-3C-AAAU-01	1q23	0.415029411764706
TCGA-3C-AAAU-01	1q24	-0.415967213114754
TCGA-3C-AAAU-01	1q25	-0.434807692307692
TCGA-3C-AAAU-01	1q31	0.0781666666666667
TCGA-3C-AAAU-01	1q32	0.203
TCGA-3C-AAAU-01	1q41	0.203
TCGA-3C-AAAU-01	1q42	0.202827956989247
TCGA-3C-AAAU-01	1q43	0.187
TCGA-3C-AAAU-01	1q44	0.187
TCGA-3C-AAAU-01	2p25	-0.447
TCGA-3C-AAAU-01	2p24	-0.447
TCGA-3C-AAAU-01	2p23	-0.447
TCGA-3C-AAAU-01	2p22	-0.447
TCGA-3C-AAAU-01	2p21	-0.447
TCGA-3C-AAAU-01	2p16	-0.427842105263158
TCGA-3C-AAAU-01	2p15	-0.421
TCGA-3C-AAAU-01	2p14	-0.421
TCGA-3C-AAAU-01	2p13	-0.421
TCGA-3C-AAAU-01	2p12	-0.421
TCGA-3C-AAAU-01	2p11	-0.421
TCGA-3C-AAAU-01	2q11	-0.421
TCGA-3C-AAAU-01	2q12	-0.421
TCGA-3C-AAAU-01	2q13	-0.421
TCGA-3C-AAAU-01	2q14	-0.421
TCGA-3C-AAAU-01	2q21	-0.421
TCGA-3C-AAAU-01	2q22	-0.421
TCGA-3C-AAAU-01	2q23	-0.421
TCGA-3C-AAAU-01	2q24	-0.36936
TCGA-3C-AAAU-01	2q31	-0.399
TCGA-3C-AAAU-01	2q32	-0.399
TCGA-3C-AAAU-01	2q33	-0.399
TCGA-3C-AAAU-01	2q34	-0.399
TCGA-3C-AAAU-01	2q35	-0.399
TCGA-3C-AAAU-01	2q36	-0.399
TCGA-3C-AAAU-01	2q37	-0.399
TCGA-3C-AAAU-01	3p26	-0.458
TCGA-3C-AAAU-01	3p25	-0.458
TCGA-3C-AAAU-01	3p24	-0.458
TCGA-3C-AAAU-01	3p23	-0.458
TCGA-3C-AAAU-01	3p22	-0.458
TCGA-3C-AAAU-01	3p21	-0.38792385786802
TCGA-3C-AAAU-01	3p14	-0.29937037037037
TCGA-3C-AAAU-01	3p13	-0.41
TCGA-3C-AAAU-01	3p12	-0.403
TCGA-3C-AAAU-01	3p11	-0.375
TCGA-3C-AAAU-01	3q11	0.207954545454545
TCGA-3C-AAAU-01	3q12	0.2631
TCGA-3C-AAAU-01	3q13	0.259
TCGA-3C-AAAU-01	3q21	0.259
TCGA-3C-AAAU-01	3q22	0.259
TCGA-3C-AAAU-01	3q23	0.259
TCGA-3C-AAAU-01	3q24	0.259
TCGA-3C-AAAU-01	3q25	0.259
TCGA-3C-AAAU-01	3q26	0.259
TCGA-3C-AAAU-01	3q27	0.259
TCGA-3C-AAAU-01	3q28	0.259
TCGA-3C-AAAU-01	3q29	0.259
TCGA-3C-AAAU-01	4p16	-0.472
TCGA-3C-AAAU-01	4p15	-0.485533333333333
TCGA-3C-AAAU-01	4p14	-1.081
TCGA-3C-AAAU-01	4p13	-1.081
TCGA-3C-AAAU-01	4p12	-0.5794
TCGA-3C-AAAU-01	4p11	-0.397
TCGA-3C-AAAU-01	4q12	-0.397
TCGA-3C-AAAU-01	4q13	0.826591549295775
TCGA-3C-AAAU-01	4q21	0.8804375
TCGA-3C-AAAU-01	4q22	-0.373
TCGA-3C-AAAU-01	4q23	-0.373
TCGA-3C-AAAU-01	4q24	-0.373
TCGA-3C-AAAU-01	4q25	-0.373
TCGA-3C-AAAU-01	4q26	-0.373
TCGA-3C-AAAU-01	4q27	-0.373
TCGA-3C-AAAU-01	4q28	-0.373
TCGA-3C-AAAU-01	4q31	-0.373
TCGA-3C-AAAU-01	4q32	-0.362619047619048
TCGA-3C-AAAU-01	4q33	-0.38
