Band	HGNC symbol	Gene Start (bp)	Gene End (bp)	Chromosome Name
p36.33	DDX11L1	11869	14409	1
p36.33	WASH7P	14404	29570	1
p36.33	FAM138A	34554	36081	1
p36.33	OR4F5	69091	70008	1
p36.33	OR4F29	450740	451678	1
p36.33	OR4F16	685716	686654	1
p36.33	LINC00115	826206	827522	1
p36.33	FAM41C	868071	876903	1
p36.33	SAMD11	923928	944581	1
p36.33	NOC2L	944204	959309	1
p36.33	KLHL17	960587	965715	1
p36.33	PLEKHN1	966497	975865	1
p36.33	HES4	998962	1000172	1
p36.33	ISG15	1001138	1014541	1
p36.33	AGRN	1020123	1056118	1
p36.33	RNF223	1070966	1074307	1
p36.33	C1orf159	1081818	1116361	1
p36.33	MIR200B	1167104	1167198	1
p36.33	MIR200A	1167863	1167952	1
p36.33	MIR429	1169005	1169087	1
p36.33	TTLL10	1173884	1197935	1
p36.33	TNFRSF18	1203508	1206691	1
p36.33	TNFRSF4	1211326	1214138	1
p36.33	SDF4	1216908	1232031	1
p36.33	B3GALT6	1232265	1235041	1
p36.33	FAM132A	1242446	1246722	1
p36.33	UBE2J2	1253909	1273885	1
p36.33	SCNN1D	1280436	1292029	1
p36.33	ACAP3	1292376	1309609	1
p36.33	PUSL1	1308567	1311677	1
p36.33	CPSF3L	1311585	1324691	1
p36.33	TAS1R3	1331314	1335306	1
p36.33	DVL1	1335276	1349350	1
p36.33	MXRA8	1352689	1361777	1
p36.33	AURKAIP1	1373730	1375495	1
p36.33	CCNL2	1385711	1399328	1
p36.33	MRPL20	1401908	1407313	1
p36.33	ANKRD65	1418420	1421769	1
p36.33	TMEM88B	1426128	1427787	1
p36.33	VWA1	1434861	1442882	1
p36.33	ATAD3C	1449689	1470158	1
p36.33	ATAD3B	1471769	1497848	1
p36.33	ATAD3A	1512151	1534687	1
p36.33	TMEM240	1535174	1540453	1
p36.33	SSU72	1541673	1574869	1
p36.33	MIB2	1615415	1630610	1
p36.33	MMP23B	1632095	1635263	1
p36.33	CDK11B	1635227	1659012	1
p36.33	SLC35E2B	1659529	1692728	1
p36.33	MMP23A	1699942	1701782	1
p36.33	CDK11A	1702730	1724324	1
p36.33	SLC35E2	1724838	1745992	1
p36.33	NADK	1751232	1780457	1
p36.33	GNB1	1785285	1891117	1
